,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Entry
0,1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,False,"Bulbasaur can be seen napping in bright sunlight.
There is a seed on its back. By soaking up the sun’s rays,
the seed grows progressively larger."
1,2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,False,"There is a bud on this Pokémon’s back. To support its weight,
Ivysaur’s legs and trunk grow thick and strong.
If it starts spending more time lying in the sunlight,
it’s a sign that the bud will bloom into a large flower soon."
2,3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False,"There is a large flower on Venusaur’s back. The flower is said
to take on vivid colors if it gets plenty of nutrition and sunlight.
The flower’s aroma soothes the emotions of people."
3,4,Charmander,Fire,,309,39,52,43,60,50,65,1,False,"The flame that burns at the tip of its tail is an indication
of its emotions. The flame wavers when Charmander
is enjoying itself. If the Pokémon becomes enraged,
the flame burns fiercely."
4,5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,False,"Charmeleon mercilessly destroys its foes using its sharp
claws. If it encounters a strong foe, it turns aggressive.
In this excited state, the flame at the tip of its tail flares with
a bluish white color."
5,6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False,"Charizard flies around the sky in search of powerful opponents.
It breathes fire of such great heat that it melts anything.
However, it never turns its fiery breath on any opponent
weaker than itself."
6,7,Squirtle,Water,,314,44,48,65,50,64,43,1,False,"Squirtle’s shell is not merely used for protection.
The shell’s rounded shape and the grooves on its
surface help minimize resistance in water,
enabling this Pokémon to swim at high speeds."
7,8,Wartortle,Water,,405,59,63,80,65,80,58,1,False,"Its tail is large and covered with a rich, thick fur. The tail
becomes increasingly deeper in color as Wartortle ages.
The scratches on its shell are evidence of this Pokémon’s
toughness as a battler."
8,9,Blastoise,Water,,530,79,83,100,85,105,78,1,False,"Blastoise has water spouts that protrude from its shell.
The water spouts are very accurate.
They can shoot bullets of water with enough accuracy
to strike empty cans from a distance of over 160 feet."
9,10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False,"Perhaps because it would like to grow up
quickly, it has a voracious appetite, eating
a hundred leaves a day."
10,11,Metapod,Bug,,205,50,20,55,25,25,30,1,False,"Its shell is filled with a thick liquid. All of the
cells throughout its body are being rebuilt in
preparation for evolution."
11,12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,False,"Its wings are covered in toxic scales. If it finds
bird Pokémon going after Caterpie, Butterfree
sprinkles its scales on them to drive them off."
12,13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,False,"Weedle has an extremely acute sense of smell. It is capable
of distinguishing its favorite kinds of leaves from those it
dislikes just by sniffing with its big red proboscis (nose)."
13,14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,False,"Kakuna remains virtually immobile as it clings to a tree.
However, on the inside, it is extremely busy as it prepares
for its coming evolution.
This is evident from how hot the shell becomes to the touch."
14,15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,False,"Beedrill is extremely territorial. No one should ever approach
its nest—this is for their own safety. If angered, they will attack
in a furious swarm."
15,16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,False,"Pidgey has an extremely sharp sense of direction.
It is capable of unerringly returning home to its nest,
however far it may be removed from its familiar surroundings."
16,17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,False,"Pidgeotto claims a large area as its own territory. This
Pokémon flies around, patrolling its living space. If its territory
is violated, it shows no mercy in thoroughly punishing the foe
with its sharp claws."
17,18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,False,"This Pokémon has a dazzling plumage of beautifully
glossy feathers. Many Trainers are captivated by the
striking beauty of the feathers on its head, compelling
them to choose Pidgeot as their Pokémon."
18,19,Rattata,Normal,,253,30,56,35,25,35,72,1,False,"Its incisors grow continuously throughout its life.
If its incisors get too long, this Pokémon
becomes unable to eat, and it starves to death."
19,20,Raticate,Normal,,413,55,81,60,50,70,97,1,False,"People say that it fled from its enemies by
using its small webbed hind feet to swim
from island to island in Alola."
20,21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,False,"Its reckless nature leads it to stand up to
others—even large Pokémon—if it has to protect
its territory."
21,22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,False,"Carrying food through Fearow’s territory is
dangerous. It will snatch the food away from
you in a flash!"
22,23,Ekans,Poison,,288,35,60,44,40,54,55,1,False,"By dislocating its jaw, it can swallow prey larger
than itself. After a meal, it curls up and rests."
23,24,Arbok,Poison,,438,60,85,69,65,79,80,1,False,"The latest research has determined that there
are over 20 possible arrangements of the
patterns on its stomach."
24,25,Pikachu,Electric,,320,35,55,40,50,50,90,1,False,"Its nature is to store up electricity. Forests
where nests of Pikachu live are dangerous,
since the trees are so often struck by lightning."
25,26,Raichu,Electric,,485,60,90,55,90,80,110,1,False,"As electricity builds up inside its body, it
becomes more aggressive. One theory is that
the electricity buildup is actually causing stress."
26,27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,False,"It lives in areas of limited rainfall. When danger
approaches, it curls up into a ball to protect its
soft stomach."
27,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False,"Its claws and horns often break off. The broken
claws and horns can be used to carve plows for
tilling farm fields."
28,29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,False,"Nidoran♀ has barbs that secrete a powerful poison.
They are thought to have developed as protection for
this small-bodied Pokémon. When enraged, it releases
a horrible toxin from its horn."
29,30,Nidorina,Poison,,365,70,62,67,55,55,56,1,False,"When Nidorina are with their friends or family, they keep
their barbs tucked away to prevent hurting each other.
This Pokémon appears to become nervous if separated
from the others."
30,31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,False,"Nidoqueen’s body is encased in extremely hard scales.
It is adept at sending foes flying with harsh tackles. This
Pokémon is at its strongest when it is defending its young."
31,32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,False,"Nidoran♂ has developed muscles for moving its ears. Thanks
to them, the ears can be freely moved in any direction. Even
the slightest sound does not escape this Pokémon’s notice."
